Category,Sub-Category,Sales,Profit
Technology,Copiers,149528.03,55617.82
Technology,Phones,330007.05,44515.73
Technology,Accessories,167380.32,41936.64
Office Supplies,Paper,78479.21,34053.57
Office Supplies,Binders,203412.73,30221.76
Furniture,Chairs,328449.1,26590.17
Office Supplies,Storage,223843.61,21278.83
Office Supplies,Appliances,107532.16,18138.01
Furniture,Furnishings,91705.16,13059.14
Office Supplies,Envelopes,16476.4,6964.18
Office Supplies,Art,27118.79,6527.79
Office Supplies,Labels,12486.31,5546.25
Technology,Machines,189238.63,3384.76
Office Supplies,Fasteners,3024.28,949.52
Office Supplies,Supplies,46673.54,-1189.1
Furniture,Bookcases,114880.0,-3472.56
Furniture,Tables,206965.53,-17725.48
